time,size_sent,size_rcv 
0,0.3375, 
10,0.5625,0.00234375 
20,0.5625,0.00390625 
30,0.675,0.00390625 
40,0.79375,0.0046875 
50,1.1375,0.00703125 
60,1.48125,0.0078125 
70,2.15625,0.0109375 
80,2.50625,0.01484375 
90,2.9625,0.01796875 
100,3.88125,0.021875 
110,5.00625,0.0296875 
120,5.34375,0.03359375 
130,6.1375,0.03671875 
140,6.59375,0.04140625 
150,7.85625,0.0484375 
160,8.875,0.05390625 
170,9.4375,0.225 
180,13.2,0.22734375 
190,15.15625,0.2546875 
200,15.49375,0.26328125 
210,15.71875,0.2640625 
220,16.50625,0.596875 
230,16.74375,0.765625 
240,16.85625,0.76640625 
250,19.48125,0.7671875 
260,20.84375,0.9453125 
270,20.9625,1.11640625 
280,21.075,1.6140625 
290,21.3,1.6140625 
300,21.6375,1.61484375 
310,21.6375,2.7765625 
320,21.975,2.7765625 
330,23.21875,2.7796875 
340,23.66875,2.784375 
350,23.66875,2.78671875 
360,23.66875,2.78671875 
370,23.7875,2.78671875 
380,23.7875,2.7875 
390,23.7875,3.11875 
400,24.0125,3.11875 
410,24.2375,3.12109375 
420,24.35,3.12265625 
430,24.35,3.12265625 
440,24.35,3.12265625 
450,24.35,3.12265625 
460,24.35,3.12265625 
470,24.35,3.12265625 
480,24.35,3.12265625 
490,24.35,3.12265625 
500,24.35,3.12265625 
510,24.35,3.12265625 
520,24.4625,3.12265625 
524,24.4625,3.1234375 
