time,page 
10,6989.825032552083 
20,7174.986572265625 
30,0 
40,6981.095947265625 
50,6979.864908854167 
60,7173.3359375 
70,7364.098083496094 
80,21252.04599609375 
90,7875.181457519531 
100,7456.422802734375 
110,13978.400708007812 
120,7717.108642578125 
130,7371.4912109375 
140,7320.737711588542 
150,38972.6533203125 
160,66916.11303710938 
170,69485.26077270508 
180,79886.41259765625 
190,13599.184841579861 
200,20651.453879616478 
210,82636.580078125 
220,110511.28037109374 
230,87301.857421875 
240,115813.05541992188 
250,6937.85791015625 
260,80293.40897863051 
270,109498.80959743923 
280,96474.04693603516 
290,0 
300,150481.52001953125 
310,128452.8103515625 
320,132251.4599609375 
330,150355.00451660156 
340,55153.87072753906 
350,7015.644287109375 
360,207667.208984375 
370,0 
380,82611.3779296875 
390,204843.54705810547 
400,207428.828125 
410,77542.7412923177 
420,44656.509521484375 
430,0 
440,0 
450,0 
460,0 
470,0 
480,0 
490,0 
500,0 
510,0 
520,0 
524,74426.13598632813 
