time,freemem@tsung_controller_74@Wonko-the-Sane 
0,27.83984375 
10,20.08203125 
20,17.43359375 
30,17.43359375 
40,17.046875 
50,17.046875 
60,17.046875 
70,15.4140625 
80,15.4140625 
90,15.4140625 
100,15.4140625 
110,15.4140625 
120,15.4140625 
130,15.4140625 
140,15.4140625 
150,15.4140625 
160,15.4140625 
170,15.4140625 
180,15.4140625 
190,15.4140625 
200,15.4140625 
210,15.4140625 
220,15.4140625 
230,15.4140625 
240,15.4140625 
250,15.4140625 
260,15.4140625 
270,15.4140625 
280,15.4140625 
290,15.4140625 
300,15.4140625 
310,15.4140625 
320,15.4140625 
330,15.4140625 
340,15.4140625 
350,15.4140625 
360,15.4140625 
370,15.4140625 
380,15.4140625 
390,15.4140625 
400,15.4140625 
410,15.4140625 
420,15.4140625 
430,15.4140625 
440,15.4140625 
450,15.4140625 
460,15.4140625 
470,15.4140625 
480,15.4140625 
490,15.4140625 
500,15.4140625 
510,15.4140625 
520,15.4140625 
