time,load@tsung_controller_74@Wonko-the-Sane 
0,3.07421875 
10,2.828125 
20,2.62890625 
30,2.77734375 
40,2.50390625 
50,2.41796875 
60,2.43359375 
70,2.6875 
80,2.875 
90,2.7265625 
100,2.5390625 
110,2.45703125 
120,2.69140625 
130,2.51171875 
140,2.3515625 
150,2.3046875 
160,2.02734375 
170,1.94921875 
180,1.8828125 
190,1.8203125 
200,1.921875 
210,1.78515625 
220,2.04296875 
230,2.03125 
240,1.87109375 
250,2.0234375 
260,2.66796875 
270,3.125 
280,4.15234375 
290,4.12890625 
300,3.8671875 
310,3.5 
320,3.109375 
330,2.86328125 
340,3.578125 
350,3.5625 
360,3.3203125 
370,3.203125 
380,3.18359375 
390,2.85546875 
400,2.73046875 
410,2.91015625 
420,2.9296875 
430,3.48046875 
440,3.76171875 
450,3.41796875 
460,3.1171875 
470,2.8671875 
480,2.80078125 
490,2.52734375 
500,2.44140625 
510,2.22265625 
520,2.4375 
