time,newphase 
60,1 
70,1 
80,1 
90,1 
100,1 
110,1 
120,1 
130,1 
140,1 
150,1 
160,1 
170,1 
180,2 
190,2 
200,2 
210,2 
220,2 
230,2 
240,2 
250,2 
260,2 
270,2 
280,2 
290,2 
300,3 
310,3 
320,3 
330,3 
340,3 
350,3 
360,4 
370,4 
380,4 
390,4 
400,4 
410,4 
420,4 
430,4 
440,4 
450,4 
460,4 
470,4 
480,5 
490,5 
500,5 
510,5 
520,5 
530,5 
540,5 
550,5 
560,5 
570,5 
580,5 
590,5 
600,6 
610,6 
620,6 
630,6 
640,6 
650,6 
660,7 
670,7 
680,7 
690,7 
700,7 
710,7 
720,7 
730,7 
740,7 
750,7 
760,7 
770,7 
780,8 
790,8 
793,8 
