time,finish_users_count,users_count 
0,2,2 
10,5,5 
20,6,6 
30,6,6 
40,9,9 
50,12,12 
60,18,20 
70,28,28 
80,41,41 
90,46,46 
100,61,61 
110,73,73 
120,84,84 
130,99,99 
140,109,110 
150,113,113 
160,113,113 
170,113,113 
180,185,185 
190,213,213 
200,213,213 
210,213,213 
220,213,213 
230,213,213 
240,213,213 
250,213,213 
260,213,213 
270,213,213 
280,213,213 
290,213,213 
300,217,217 
310,221,221 
320,222,222 
330,223,223 
340,225,225 
350,226,226 
360,227,227 
370,234,234 
380,241,241 
390,250,251 
400,263,263 
410,273,274 
420,284,284 
430,295,295 
440,300,300 
450,305,306 
460,322,322 
470,327,327 
480,359,360 
490,427,427 
500,427,427 
510,427,427 
520,427,427 
530,427,427 
540,427,427 
550,427,427 
560,427,427 
570,427,427 
580,427,427 
590,427,427 
600,429,429 
610,432,432 
620,437,437 
630,442,442 
640,442,442 
650,442,442 
660,449,449 
670,463,463 
680,473,473 
690,486,486 
700,496,496 
710,508,508 
720,519,519 
730,528,528 
740,537,537 
750,542,542 
760,542,542 
770,542,542 
780,578,579 
790,642,642 
793,642,642 
