time,load@tsung_controller_96@Wonko-the-Sane 
0,1.75390625 
10,1.71875 
20,1.60546875 
30,1.66796875 
40,1.5625 
50,1.625 
60,1.67578125 
70,1.6484375 
80,1.703125 
90,1.66796875 
100,1.64453125 
110,1.7734375 
120,1.734375 
130,1.765625 
140,1.80078125 
150,1.83203125 
160,1.62890625 
170,1.60546875 
180,1.5859375 
190,1.80078125 
200,1.765625 
210,1.64453125 
220,1.546875 
230,1.53515625 
240,1.53125 
250,1.5234375 
260,1.44140625 
270,1.453125 
280,1.5390625 
290,1.52734375 
300,1.671875 
310,1.64453125 
320,1.46484375 
330,1.625 
340,1.68359375 
350,1.58203125 
360,1.56640625 
370,1.6328125 
380,1.984375 
390,1.984375 
400,1.83203125 
410,1.9375 
420,1.9453125 
430,1.875 
440,1.88671875 
450,1.828125 
460,1.85546875 
470,1.875 
480,1.81640625 
490,1.98828125 
500,1.91796875 
510,1.84765625 
520,1.7109375 
530,1.75390625 
540,1.63671875 
550,1.6953125 
560,1.73828125 
570,1.859375 
580,1.87890625 
590,1.82421875 
600,1.6953125 
610,1.7421875 
620,1.859375 
630,1.88671875 
640,1.83203125 
650,1.85546875 
660,1.64453125 
670,1.46875 
680,1.55078125 
690,1.62109375 
700,1.60546875 
710,1.75 
720,1.76953125 
730,1.796875 
740,1.67578125 
750,1.6484375 
760,1.85546875 
770,1.796875 
780,2.30859375 
790,2.1796875 
